INFO 2025-09-14 20:23:45,305 basehttp "POST /login/ HTTP/1.1" 302 0
INFO 2025-09-14 20:23:45,323 basehttp "GET /selection/ HTTP/1.1" 200 7059
INFO 2025-09-14 20:25:52,808 autoreload C:\Users\Kaustubh\OneDrive\Desktop\College-Site\dashboard\urls.py changed, reloading.
INFO 2025-09-14 20:25:53,557 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 20:26:09,542 autoreload C:\Users\Kaustubh\OneDrive\Desktop\College-Site\dashboard\views.py changed, reloading.
INFO 2025-09-14 20:26:10,275 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 20:28:39,211 autoreload C:\Users\Kaustubh\OneDrive\Desktop\College-Site\dashboard\views.py changed, reloading.
INFO 2025-09-14 20:28:40,111 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 20:29:10,638 autoreload C:\Users\Kaustubh\OneDrive\Desktop\College-Site\dashboard\views.py changed, reloading.
INFO 2025-09-14 20:29:11,399 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 20:29:29,924 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 20:29:31,514 basehttp "GET / HTTP/1.1" 200 11578
INFO 2025-09-14 20:29:33,694 basehttp "GET /logout/ HTTP/1.1" 302 0
INFO 2025-09-14 20:29:33,707 basehttp "GET /login/ HTTP/1.1" 200 3359
INFO 2025-09-14 20:29:41,381 basehttp "POST /login/ HTTP/1.1" 302 0
INFO 2025-09-14 20:29:41,394 basehttp "GET /subjectspage/ HTTP/1.1" 200 4359
WARNING 2025-09-14 20:31:10,854 log Not Found: /subjectspage/add_subject.html
WARNING 2025-09-14 20:31:10,855 basehttp "GET /subjectspage/add_subject.html HTTP/1.1" 404 6422
INFO 2025-09-14 20:32:39,328 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2025-09-14 20:32:39,480 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 3701
INFO 2025-09-14 20:32:39,500 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2808
INFO 2025-09-14 20:32:39,500 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 22120
INFO 2025-09-14 20:32:39,507 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-09-14 20:32:39,508 basehttp "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2025-09-14 20:32:39,512 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 200 16565
INFO 2025-09-14 20:32:39,520 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-09-14 20:32:39,523 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2025-09-14 20:32:54,028 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 200 3872
INFO 2025-09-14 20:32:57,225 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 3701
INFO 2025-09-14 20:47:49,750 basehttp "GET /subjectspage/ HTTP/1.1" 200 4359
INFO 2025-09-14 20:47:49,971 basehttp "GET /subjectspage/ HTTP/1.1" 200 4359
INFO 2025-09-14 20:47:50,171 basehttp "GET /subjectspage/ HTTP/1.1" 200 4359
INFO 2025-09-14 20:47:57,893 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 20:48:00,460 basehttp "GET / HTTP/1.1" 200 11618
INFO 2025-09-14 20:48:00,516 basehttp "GET /static/dashboard/js/main.js HTTP/1.1" 304 0
INFO 2025-09-14 20:48:00,516 basehttp "GET /static/dashboard/css/style.css HTTP/1.1" 304 0
INFO 2025-09-14 20:48:03,703 basehttp "GET /logout/ HTTP/1.1" 302 0
INFO 2025-09-14 20:48:03,712 basehttp "GET /login/ HTTP/1.1" 200 3359
INFO 2025-09-14 20:48:15,022 basehttp "POST /login/ HTTP/1.1" 302 0
INFO 2025-09-14 20:48:15,032 basehttp "GET /subjectspage/ HTTP/1.1" 200 4359
WARNING 2025-09-14 20:48:17,641 log Not Found: /subjectspage/add_subject.html
WARNING 2025-09-14 20:48:17,642 basehttp "GET /subjectspage/add_subject.html HTTP/1.1" 404 6422
WARNING 2025-09-14 20:49:58,508 log Not Found: /subjectspage/add_subject.html
